"proteins","genes","sub-UTD-DN0024.ganglia","sub-UTD-DN0024.nerve.root","sub-UTD-DN0046.ganglia","sub-UTD-DN0046.nerve.root","sub-UTD-DN0093.ganglia","sub-UTD-DN0093.nerve.root","sub-UTD-DN0123.ganglia","sub-UTD-DN0123.nerve.root","sub-UTD-DN0178.ganglia","sub-UTD-DN0178.nerve.root","sub-UTD-DN0181.ganglia","sub-UTD-DN0181.nerve.root","sub-UTD-DN0245.ganglia","sub-UTD-DN0245.nerve.root","sub-UTD-DN0251.ganglia","sub-UTD-DN0251.nerve.root"
"KPTN","KPTN",12.3900369053404,12.60298670956,12.6053868738767,12.3011336487831,12.5095026489523,12.6935990155665,12.1378825791095,12.0177318479791,12.6434153480513,12.4643058600675,12.3448811169302,12.5223165476093,12.5274806471952,12.4129897602949,12.5158665966616,12.6198018082676
"KRAS","KRAS",12.3090060126045,12.9563734970304,11.7354645164747,12.7979530577312,12.0479100200742,12.8704118310503,12.3029795039293,12.8832846435073,12.2872736197191,12.7277357014736,12.0592767962318,13.3576928575142,12.000810979978,13.0188246458948,12.1220960093506,13.2071402659293
"KRAS;KRAS","KRAS",17.386292446692,18.4087204903321,17.3809165367475,17.8924141978533,17.1871691062574,18.267408345938,17.6203013336458,18.0151206344609,17.6026963563829,17.7741209777076,17.1931393687155,17.954132532305,17.8609410545694,18.2401675293006,17.3592865744796,18.2147405162603
"KRAS;KRAS;NRAS","KRAS",18.7058453007909,19.4960039068487,18.0544202711925,19.1313304912437,18.3850806163624,19.3428387914509,18.3798828807827,19.0927180607989,18.3512682506972,19.2120783472788,18.2976676480819,19.4182478705271,18.7121492190042,19.4738387367649,18.3069089586049,19.753325707626
"KRI1","KRI1",12.2449584956718,12.6635110447972,11.9163142281181,12.4219610733034,12.3657208879073,12.6707777598921,12.4484660034344,12.5739677843932,12.2662672496304,12.2774445237506,12.4379370924765,12.1114071819614,11.8469690257676,12.4839761137934,12.6106858902886,12.8551503969329
"KRIT1","KRIT1",12.8954727367829,12.8602348525369,12.7738765493139,12.8343067738736,12.9132984850622,12.4970125871328,12.9210034349271,13.1203678283031,12.9631451804451,13.1711212358374,12.9586837859373,12.7790269753694,12.9976189239746,13.1239606100508,12.8987697798903,12.4025012666745
"KRIT1;KRIT1","KRIT1",11.806131086922,11.8222185023329,11.9784420074231,11.8946171177428,11.5754937590201,11.6660418644168,11.9965898142813,11.7981204514361,12.0207434394643,11.878407102524,11.8602481793418,11.5643030590887,11.6747950021023,11.684474476711,12.0470805257191,11.7625858550563
"KRR1","KRR1",14.30564204568,14.0634996878735,13.7879620414094,14.2947243771515,14.1334833834443,13.9333542879911,13.9351069567202,14.0597785522803,13.7735326774624,14.2718183073506,14.0585236634211,14.1609344388069,13.9530133647506,14.1378818078791,14.2857676933521,14.1671940332698
"KRT1","KRT1",16.4663669414521,17.8399003943459,17.6582533453116,17.9435790847111,17.1736064097464,17.2959679396637,17.158513483719,17.0513468973553,16.6793782250763,17.3668244385827,17.0825492640817,17.8611014835663,16.5029882504461,17.5928308912049,15.5903781566735,17.065392135775
"KRT10","KRT10",15.2740293894376,16.8389485663308,15.7322899922946,16.649691559654,15.6811941864472,16.0167250191185,15.8245219419589,15.6589603243698,15.3850766876718,16.1329204347469,16.0455013620167,16.9179882686741,15.1148155018232,16.1925516045052,14.4091602079905,15.9132766857599
